#       x                y            Correxpect        Corryield
     0.087500         0.787500         0.013902         0.191149
     0.087500         0.812500         0.013060         0.174522
     0.087500         0.837500         0.012268         0.157678
     0.087500         0.862500         0.011525         0.141190
     0.087500         0.887500         0.010827         0.125637
     0.087500         0.912500         0.010171         0.111562
     0.087500         0.937500         0.009555         0.099420
     0.087500         0.962500         0.008976         0.089542
     0.087500         0.987500         0.008432         0.082112
     0.112500         0.012500         0.062304         0.823683
     0.112500         0.037500         0.066322         0.861599
     0.112500         0.062500         0.070600         0.887110
     0.112500         0.087500         0.075153         0.900272
     0.112500         0.112500         0.080000         0.901529
     0.112500         0.137500         0.075153         0.891679
     0.112500         0.162500         0.070600         0.871833
     0.112500         0.187500         0.066322         0.843356
     0.112500         0.212500         0.062304         0.807800
     0.112500         0.237500         0.058529         0.766828
     0.112500         0.262500         0.054983         0.722143
     0.112500         0.287500         0.051652         0.675408
     0.112500         0.312500         0.048522         0.628181
     0.112500         0.337500         0.045583         0.581853
     0.112500         0.362500         0.042821         0.537600
     0.112500         0.387500         0.040227         0.496347
     0.112500         0.412500         0.037789         0.458752
     0.112500         0.437500         0.035500         0.425194
     0.112500         0.462500         0.033349         0.395791
     0.112500         0.487500         0.031328         0.370420
     0.112500         0.512500         0.029430         0.348752
     0.112500         0.537500         0.027647         0.330297
     0.112500         0.562500         0.025972         0.314455
     0.112500         0.587500         0.024399         0.300567
     0.112500         0.612500         0.022920         0.287969
     0.112500         0.637500         0.021532         0.276038
     0.112500         0.662500         0.020227         0.264231
     0.112500         0.687500         0.019002         0.252124
     0.112500         0.712500         0.017850         0.239428
     0.112500         0.737500         0.016769         0.226001
     0.112500         0.762500         0.015753         0.211849
     0.112500         0.787500         0.014799         0.197110
     0.112500         0.812500         0.013902         0.182037
     0.112500         0.837500         0.013060         0.166965
     0.112500         0.862500         0.012268         0.152280
     0.112500         0.887500         0.011525         0.138379
     0.112500         0.912500         0.010827         0.125637
     0.112500         0.937500         0.010171         0.114373
     0.112500         0.962500         0.009555         0.104818
     0.112500         0.987500         0.008976         0.097099
     0.137500         0.012500         0.058529         0.803582
     0.137500         0.037500         0.062304         0.841817
     0.137500         0.062500         0.066322         0.869205
     0.137500         0.087500         0.070600         0.885729
     0.137500         0.112500         0.075153         0.891679
     0.137500         0.137500         0.080000         0.887634
     0.137500         0.162500         0.075153         0.874424
     0.137500         0.187500         0.070600         0.853092
     0.137500         0.212500         0.066322         0.824845
     0.137500         0.237500         0.062304         0.790997
     0.137500         0.262500         0.058529         0.752915
     0.137500         0.287500         0.054983         0.711961
     0.137500         0.312500         0.051652         0.669438
     0.137500         0.337500         0.048522         0.626547
     0.137500         0.362500         0.045583         0.584343
     0.137500         0.387500         0.042821         0.543709
     0.137500         0.412500         0.040227         0.505335
     0.137500         0.437500         0.037789         0.469709
     0.137500         0.462500         0.035500         0.437120
     0.137500         0.487500         0.033349         0.407669
     0.137500         0.512500         0.031328         0.381293
     0.137500         0.537500         0.029430         0.357787
     0.137500         0.562500         0.027647         0.336843
     0.137500         0.587500         0.025972         0.318080
     0.137500         0.612500         0.024399         0.301083
     0.137500         0.637500         0.022920         0.285436
     0.137500         0.662500         0.021532         0.270749
     0.137500         0.687500         0.020227         0.256690
     0.137500         0.712500         0.019002         0.242995
     0.137500         0.737500         0.017850         0.229486
     0.137500         0.762500         0.016769         0.216070
     0.137500         0.787500         0.015753         0.202738
     0.137500         0.812500         0.014799         0.189553
     0.137500         0.837500         0.013902         0.176638
     0.137500         0.862500         0.013060         0.164154
     0.137500         0.887500         0.012268         0.152280
     0.137500         0.912500         0.011525         0.141190
     0.137500         0.937500         0.010827         0.131036
     0.137500         0.962500         0.010171         0.121930
     0.137500         0.987500         0.009555         0.113930
     0.162500         0.012500         0.054983         0.772963
     0.162500         0.037500         0.058529         0.811188
     0.162500         0.062500         0.062304         0.840437
     0.162500         0.087500         0.066322         0.860612
     0.162500         0.112500         0.070600         0.871833
     0.162500         0.137500         0.075153         0.874424
     0.162500         0.162500         0.080000         0.868892
     0.162500         0.187500         0.075153         0.855912
     0.162500         0.212500         0.070600         0.836289
     0.162500         0.237500         0.066322         0.810932
     0.162500         0.262500         0.062304         0.780816
     0.162500         0.287500         0.058529         0.746946
     0.162500         0.312500         0.054983         0.710327
     0.162500         0.337500         0.051652         0.671928
     0.162500         0.362500         0.048522         0.632656
     0.162500         0.387500         0.045583         0.593331
     0.162500         0.412500         0.042821         0.554667
     0.162500         0.437500         0.040227         0.517261
     0.162500         0.462500         0.037789         0.481587
     0.162500         0.487500         0.035500         0.447993
     0.162500         0.512500         0.033349         0.416705
     0.162500         0.537500         0.031328         0.387839
     0.162500         0.562500         0.029430         0.361412
     0.162500         0.587500         0.027647         0.337359
     0.162500         0.612500         0.025972         0.315546
     0.162500         0.637500         0.024399         0.295795
     0.162500         0.662500         0.022920         0.277895
     0.162500         0.687500         0.021532         0.261620
     0.162500         0.712500         0.020227         0.246748
     0.162500         0.737500         0.019002         0.233064
     0.162500         0.762500         0.017850         0.220374
     0.162500         0.787500         0.016769         0.208513
     0.162500         0.812500         0.015753         0.197339
     0.162500         0.837500         0.014799         0.186742
     0.162500         0.862500         0.013902         0.176638
     0.162500         0.887500         0.013060         0.166965
     0.162500         0.912500         0.012268         0.157678
     0.162500         0.937500         0.011525         0.148747
     0.162500         0.962500         0.010827         0.140148
     0.162500         0.987500         0.010171         0.131862
     0.187500         0.012500         0.051652         0.733680
     0.187500         0.037500         0.054983         0.771582
     0.187500         0.062500         0.058529         0.802595
     0.187500         0.087500         0.062304         0.826541
     0.187500         0.112500         0.066322         0.843356
     0.187500         0.137500         0.070600         0.853092
     0.187500         0.162500         0.075153         0.855912
     0.187500         0.187500         0.080000         0.852090
     0.187500         0.212500         0.075153         0.842000
     0.187500         0.237500         0.070600         0.826108
     0.187500         0.262500         0.066322         0.804963
     0.187500         0.287500         0.062304         0.779182
     0.187500         0.312500         0.058529         0.749436
     0.187500         0.337500         0.054983         0.716436
     0.187500         0.362500         0.051652         0.680916
     0.187500         0.387500         0.048522         0.643614
     0.187500         0.412500         0.045583         0.605257
     0.187500         0.437500         0.042821         0.566545
     0.187500         0.462500         0.040227         0.528134
     0.187500         0.487500         0.037789         0.490622
     0.187500         0.512500         0.035500         0.454539
     0.187500         0.537500         0.033349         0.420330
     0.187500         0.562500         0.031328         0.388355
     0.187500         0.587500         0.029430         0.358878
     0.187500         0.612500         0.027647         0.332070
     0.187500         0.637500         0.025972         0.308005
     0.187500         0.662500         0.024399         0.286666
     0.187500         0.687500         0.022920         0.267953
     0.187500         0.712500         0.021532         0.251689
     0.187500         0.737500         0.020227         0.237636
     0.187500         0.762500         0.019002         0.225506
     0.187500         0.787500         0.017850         0.214976
     0.187500         0.812500         0.016769         0.205702
     0.187500         0.837500         0.015753         0.197339
     0.187500         0.862500         0.014799         0.189553
     0.187500         0.887500         0.013902         0.182037
     0.187500         0.912500         0.013060         0.174522
     0.187500         0.937500         0.012268         0.166790
     0.187500         0.962500         0.011525         0.158678
     0.187500         0.987500         0.010827         0.150090
