          #x                 Sigval 
      0.00000000           0.58742000
      0.20719511           0.58742000
      0.20719511           0.34294000
      0.95394173           0.34294000
      0.95394173           0.58742000
      1.47279861           0.58742000
      1.47279861           0.34294000
      2.95105072           0.34294000
      2.95105072           0.58742000
      3.00000000           0.58742000
