#  xpos   SnDSAerr
  0.500000   -0.0000000099668114
  1.500000   -0.0000000188908942
  2.500000   -0.0000000255855852
  3.500000   -0.0000000310556914
  4.500000   -0.0000000334815056
  5.500000   -0.0000000334814914
  6.500000   -0.0000000310557340
  7.500000   -0.0000000255856030
  8.500000   -0.0000000188909084
  9.500000   -0.0000000099668149
