              #x                      Variace                 Variace
            0.073250                 0.771892                 0.910777     
            0.073750                 0.768673                 0.911987     
            0.074250                 0.765394                 0.913109     
            0.074750                 0.762057                 0.914137     
            0.075250                 0.758661                 0.915066     
            0.075750                 0.755208                 0.915891     
            0.076250                 0.751698                 0.916606     
            0.076750                 0.748132                 0.917207     
            0.077250                 0.744510                 0.917689     
            0.077750                 0.740833                 0.918046     
            0.078250                 0.737101                 0.918274     
            0.078750                 0.733315                 0.918368     
            0.079250                 0.729476                 0.918323     
            0.079750                 0.725585                 0.918136     
            0.080250                 0.721641                 0.917801     
            0.080750                 0.717647                 0.917314     
            0.081250                 0.713602                 0.916672     
            0.081750                 0.709507                 0.915870     
            0.082250                 0.705363                 0.914905     
            0.082750                 0.701171                 0.913773     
            0.083250                 0.696931                 0.912471     
            0.083750                 0.692644                 0.910996     
            0.084250                 0.688310                 0.909343     
            0.084750                 0.683932                 0.907512     
            0.085250                 0.679508                 0.905498     
            0.085750                 0.675041                 0.903299     
            0.086250                 0.670530                 0.900914     
            0.086750                 0.665977                 0.898339     
            0.087250                 0.661383                 0.895574     
            0.087750                 0.656747                 0.892616     
            0.088250                 0.652072                 0.889463     
            0.088750                 0.647357                 0.886116     
            0.089250                 0.642604                 0.882572     
            0.089750                 0.637814                 0.878831     
            0.090250                 0.632986                 0.874892     
            0.090750                 0.628123                 0.870755     
            0.091250                 0.623224                 0.866419     
            0.091750                 0.618291                 0.861886     
            0.092250                 0.613325                 0.857154     
            0.092750                 0.608326                 0.852225     
            0.093250                 0.603296                 0.847099     
            0.093750                 0.598235                 0.841778     
            0.094250                 0.593144                 0.836263     
            0.094750                 0.588023                 0.830554     
            0.095250                 0.582875                 0.824654     
            0.095750                 0.577699                 0.818565     
            0.096250                 0.572497                 0.812289     
            0.096750                 0.567269                 0.805827     
            0.097250                 0.562016                 0.799184     
            0.097750                 0.556740                 0.792360     
            0.098250                 0.551441                 0.785361     
            0.098750                 0.546120                 0.778187     
            0.099250                 0.540779                 0.770844     
            0.099750                 0.535417                 0.763335     
