#       x                y            Correxpect        Corryield
     0.175000         1.425000         0.000000        -0.000047
     0.175000         1.475000         0.000000         0.000049
     0.175000         1.525000         0.000000         0.000115
     0.175000         1.575000         0.000000         0.000115
     0.175000         1.625000         0.000000         0.000051
     0.175000         1.675000         0.000000        -0.000039
     0.175000         1.725000         0.000000        -0.000105
     0.175000         1.775000         0.000000        -0.000112
     0.175000         1.825000         0.000000        -0.000056
     0.175000         1.875000         0.000000         0.000030
     0.175000         1.925000         0.000000         0.000099
     0.175000         1.975000         0.000000         0.000111
     0.225000         0.025000         0.000824         0.001375
     0.225000         0.075000         0.001428         0.002159
     0.225000         0.125000         0.002476         0.003071
     0.225000         0.175000         0.004291         0.003892
     0.225000         0.225000         0.007438         0.004347
     0.225000         0.275000         0.004291         0.004236
     0.225000         0.325000         0.002476         0.003534
     0.225000         0.375000         0.001428         0.002419
     0.225000         0.425000         0.000824         0.001206
     0.225000         0.475000         0.000475         0.000226
     0.225000         0.525000         0.000274        -0.000308
     0.225000         0.575000         0.000158        -0.000368
     0.225000         0.625000         0.000091        -0.000107
     0.225000         0.675000         0.000053         0.000232
     0.225000         0.725000         0.000030         0.000432
     0.225000         0.775000         0.000018         0.000393
     0.225000         0.825000         0.000010         0.000158
     0.225000         0.875000         0.000006        -0.000128
     0.225000         0.925000         0.000003        -0.000310
     0.225000         0.975000         0.000002        -0.000301
     0.225000         1.025000         0.000001        -0.000125
     0.225000         1.075000         0.000001         0.000106
     0.225000         1.125000         0.000000         0.000262
     0.225000         1.175000         0.000000         0.000262
     0.225000         1.225000         0.000000         0.000116
     0.225000         1.275000         0.000000        -0.000086
     0.225000         1.325000         0.000000        -0.000228
     0.225000         1.375000         0.000000        -0.000236
     0.225000         1.425000         0.000000        -0.000111
     0.225000         1.475000         0.000000         0.000071
     0.225000         1.525000         0.000000         0.000207
     0.225000         1.575000         0.000000         0.000221
     0.225000         1.625000         0.000000         0.000110
     0.225000         1.675000         0.000000        -0.000061
     0.225000         1.725000         0.000000        -0.000193
     0.225000         1.775000         0.000000        -0.000213
     0.225000         1.825000         0.000000        -0.000112
     0.225000         1.875000         0.000000         0.000052
     0.225000         1.925000         0.000000         0.000185
     0.225000         1.975000         0.000000         0.000211
     0.275000         0.025000         0.000475         0.000214
     0.275000         0.075000         0.000824         0.000806
     0.275000         0.125000         0.001428         0.001884
     0.275000         0.175000         0.002476         0.003167
     0.275000         0.225000         0.004291         0.004236
     0.275000         0.275000         0.007438         0.004714
     0.275000         0.325000         0.004291         0.004426
     0.275000         0.375000         0.002476         0.003471
     0.275000         0.425000         0.001428         0.002170
     0.275000         0.475000         0.000824         0.000929
     0.275000         0.525000         0.000475         0.000074
     0.275000         0.575000         0.000274        -0.000264
     0.275000         0.625000         0.000158        -0.000172
     0.275000         0.675000         0.000091         0.000121
     0.275000         0.725000         0.000053         0.000363
     0.275000         0.775000         0.000030         0.000401
     0.275000         0.825000         0.000018         0.000229
     0.275000         0.875000         0.000010        -0.000039
     0.275000         0.925000         0.000006        -0.000247
     0.275000         0.975000         0.000003        -0.000287
     0.275000         1.025000         0.000002        -0.000158
     0.275000         1.075000         0.000001         0.000052
     0.275000         1.125000         0.000001         0.000217
     0.275000         1.175000         0.000000         0.000246
     0.275000         1.225000         0.000000         0.000133
     0.275000         1.275000         0.000000        -0.000049
     0.275000         1.325000         0.000000        -0.000193
     0.275000         1.375000         0.000000        -0.000219
     0.275000         1.425000         0.000000        -0.000118
     0.275000         1.475000         0.000000         0.000047
     0.275000         1.525000         0.000000         0.000178
     0.275000         1.575000         0.000000         0.000202
     0.275000         1.625000         0.000000         0.000109
     0.275000         1.675000         0.000000        -0.000044
     0.275000         1.725000         0.000000        -0.000169
     0.275000         1.775000         0.000000        -0.000193
     0.275000         1.825000         0.000000        -0.000105
     0.275000         1.875000         0.000000         0.000042
     0.275000         1.925000         0.000000         0.000164
     0.275000         1.975000         0.000000         0.000189
     0.325000         0.025000         0.000274        -0.000431
     0.325000         0.075000         0.000475        -0.000060
     0.325000         0.125000         0.000824         0.000902
     0.325000         0.175000         0.001428         0.002229
     0.325000         0.225000         0.002476         0.003534
     0.325000         0.275000         0.004291         0.004426
     0.325000         0.325000         0.007438         0.004651
     0.325000         0.375000         0.004291         0.004178
     0.325000         0.425000         0.002476         0.003194
     0.325000         0.475000         0.001428         0.002019
     0.325000         0.525000         0.000824         0.000973
     0.325000         0.575000         0.000475         0.000270
     0.325000         0.625000         0.000274        -0.000037
     0.325000         0.675000         0.000158        -0.000041
     0.325000         0.725000         0.000091         0.000089
     0.325000         0.775000         0.000053         0.000199
     0.325000         0.825000         0.000030         0.000204
     0.325000         0.875000         0.000018         0.000110
     0.325000         0.925000         0.000010        -0.000017
     0.325000         0.975000         0.000006        -0.000104
     0.325000         1.025000         0.000003        -0.000110
