              xiValue                 PDF                     PDF                     PDF                     PDF    
           -9.944724                 0.000000                 0.000000                 0.000000                 0.000000     
           -9.834171                 0.000000                 0.000000                 0.000000                 0.000000     
           -9.723618                 0.000000                 0.000000                 0.000000                 0.000000     
           -9.613065                 0.000000                 0.000000                 0.000000                 0.000000     
           -9.502513                 0.000000                 0.000000                 0.000000                 0.000000     
           -9.391960                 0.000000                 0.000000                 0.000000                 0.000000     
           -9.281407                 0.000000                 0.000000                 0.000000                 0.000000     
           -9.170854                 0.000000                 0.000000                 0.000000                 0.000000     
           -9.060302                 0.000000                 0.000000                 0.000090                 0.000000     
           -8.949749                 0.000000                 0.000000                 0.000000                 0.000000     
           -8.839196                 0.000000                 0.000000                 0.000000                 0.000000     
           -8.728643                 0.000000                 0.000000                 0.000000                 0.000000     
           -8.618090                 0.000000                 0.000000                 0.000000                 0.000000     
           -8.507538                 0.000000                 0.000000                 0.000000                 0.000000     
           -8.396985                 0.000000                 0.000090                 0.000000                 0.000000     
           -8.286432                 0.000000                 0.000000                 0.000000                 0.000000     
           -8.175879                 0.000000                 0.000090                 0.000000                 0.000000     
           -8.065327                 0.000000                 0.000000                 0.000000                 0.000000     
           -7.954774                 0.000000                 0.000000                 0.000000                 0.000000     
           -7.844221                 0.000000                 0.000090                 0.000000                 0.000000     
           -7.733668                 0.000000                 0.000000                 0.000000                 0.000000     
           -7.623116                 0.000000                 0.000000                 0.000090                 0.000000     
           -7.512563                 0.000000                 0.000000                 0.000090                 0.000000     
           -7.402010                 0.000000                 0.000090                 0.000000                 0.000000     
           -7.291457                 0.000000                 0.000090                 0.000090                 0.000000     
           -7.180905                 0.000000                 0.000000                 0.000000                 0.000000     
           -7.070352                 0.000000                 0.000000                 0.000090                 0.000000     
           -6.959799                 0.000000                 0.000000                 0.000000                 0.000000     
           -6.849246                 0.000000                 0.000090                 0.000181                 0.000000     
           -6.738693                 0.000000                 0.000181                 0.000090                 0.000000     
           -6.628141                 0.000000                 0.000271                 0.000000                 0.000000     
           -6.517588                 0.000000                 0.000181                 0.000181                 0.000000     
           -6.407035                 0.000000                 0.000452                 0.000000                 0.000000     
           -6.296482                 0.000000                 0.000362                 0.000181                 0.000000     
           -6.185930                 0.000000                 0.000181                 0.000271                 0.000000     
           -6.075377                 0.000000                 0.000181                 0.000181                 0.000000     
           -5.964824                 0.000000                 0.000633                 0.000452                 0.000000     
           -5.854271                 0.000000                 0.000452                 0.000181                 0.000000     
           -5.743719                 0.000000                 0.000633                 0.000181                 0.000000     
           -5.633166                 0.000000                 0.000090                 0.000181                 0.000000     
           -5.522613                 0.000000                 0.000452                 0.000543                 0.000000     
           -5.412060                 0.000000                 0.000181                 0.000633                 0.000000     
           -5.301508                 0.000000                 0.000362                 0.000543                 0.000000     
           -5.190955                 0.000000                 0.000905                 0.000543                 0.000001     
           -5.080402                 0.000000                 0.000724                 0.000543                 0.000001     
           -4.969849                 0.000000                 0.000995                 0.001085                 0.000002     
           -4.859296                 0.000000                 0.001719                 0.000995                 0.000003     
           -4.748744                 0.000000                 0.002804                 0.000995                 0.000005     
           -4.638191                 0.000000                 0.001719                 0.001447                 0.000009     
           -4.527638                 0.000000                 0.002080                 0.000995                 0.000014     
           -4.417085                 0.000000                 0.002261                 0.001176                 0.000023     
           -4.306533                 0.000000                 0.002895                 0.002080                 0.000037     
           -4.195980                 0.000000                 0.003618                 0.002080                 0.000060     
           -4.085427                 0.000000                 0.003437                 0.001447                 0.000095     
           -3.974874                 0.000000                 0.004161                 0.002714                 0.000148     
           -3.864322                 0.000000                 0.004432                 0.003075                 0.000228     
           -3.753769                 0.000000                 0.005789                 0.003890                 0.000348     
           -3.643216                 0.000000                 0.006241                 0.003618                 0.000523     
           -3.532663                 0.000000                 0.005246                 0.005065                 0.000778     
           -3.422111                 0.000000                 0.006060                 0.005246                 0.001143     
           -3.311558                 0.000000                 0.008141                 0.005789                 0.001658     
           -3.201005                 0.000000                 0.009679                 0.005789                 0.002376     
           -3.090452                 0.000000                 0.009226                 0.006875                 0.003365     
           -2.979899                 0.000000                 0.010855                 0.009679                 0.004706     
           -2.869347                 0.000000                 0.015830                 0.011216                 0.006503     
           -2.758794                 0.000000                 0.016463                 0.013025                 0.008876     
           -2.648241                 0.000000                 0.021709                 0.013930                 0.011968     
           -2.537688                 0.000000                 0.020352                 0.015739                 0.015941     
           -2.427136                 0.000000                 0.021709                 0.016915                 0.020975     
           -2.316583                 0.000000                 0.025960                 0.020895                 0.027263     
           -2.206030                 0.000000                 0.030845                 0.022342                 0.035006     
           -2.095477                 0.000000                 0.033740                 0.026232                 0.044403     
           -1.984925                 0.000000                 0.037629                 0.029760                 0.055637     
           -1.874372                 0.000000                 0.043870                 0.039800                 0.068867     
           -1.763819                 0.000000                 0.052464                 0.042966                 0.084208     
           -1.653266                 0.000000                 0.057981                 0.046041                 0.101715     
           -1.542714                 0.000000                 0.064675                 0.057348                 0.121369     
           -1.432161                 0.000000                 0.080233                 0.064042                 0.143061     
           -1.321608                 0.000000                 0.091269                 0.073811                 0.166583     
           -1.211055                 0.000000                 0.092806                 0.086927                 0.191615     
           -1.100503                 0.000000                 0.113159                 0.105560                 0.217732     
           -0.989950                 0.000000                 0.130074                 0.125551                 0.244403     
