              xiValue                 PDF                     PDF                     PDF                     PDF    
            0.500000                 0.249096                 0.238540                 0.246414                 0.352065     
            0.615578                 0.213536                 0.212238                 0.211027                 0.330084     
            0.731156                 0.173995                 0.176504                 0.176850                 0.305369     
            0.846734                 0.156085                 0.159027                 0.160844                 0.278756     
            0.962312                 0.136704                 0.144145                 0.135580                 0.251086     
            1.077889                 0.114987                 0.119054                 0.121130                 0.223161     
            1.193467                 0.105816                 0.108152                 0.101490                 0.195710     
            1.309045                 0.082715                 0.091540                 0.091453                 0.169358     
            1.424623                 0.079513                 0.082628                 0.076312                 0.144610     
            1.540201                 0.069996                 0.068352                 0.061430                 0.121840     
            1.655779                 0.057364                 0.063940                 0.058143                 0.101293     
            1.771357                 0.049231                 0.051134                 0.050183                 0.083093     
            1.886935                 0.043174                 0.047587                 0.041617                 0.067259     
            2.002513                 0.036858                 0.043520                 0.035993                 0.053720     
            2.118090                 0.034609                 0.033917                 0.035041                 0.042337     
            2.233668                 0.029417                 0.032792                 0.029677                 0.032923     
            2.349246                 0.026908                 0.028725                 0.025351                 0.025263     
            2.464824                 0.021977                 0.028293                 0.020852                 0.019128     
            2.580402                 0.019987                 0.022323                 0.017477                 0.014290     
            2.695980                 0.017218                 0.019381                 0.019554                 0.010535     
            2.811558                 0.016180                 0.016180                 0.015487                 0.007663     
            2.927136                 0.013843                 0.016872                 0.014276                 0.005500     
            3.042714                 0.009950                 0.014882                 0.010210                 0.003895     
            3.158291                 0.011507                 0.012632                 0.009863                 0.002722     
            3.273869                 0.008220                 0.009604                 0.009085                 0.001877     
            3.389447                 0.006749                 0.008306                 0.007268                 0.001277     
            3.505025                 0.006749                 0.007960                 0.006835                 0.000857     
            3.620603                 0.006403                 0.007614                 0.006143                 0.000568     
            3.736181                 0.005105                 0.005624                 0.005451                 0.000371     
            3.851759                 0.004326                 0.004586                 0.005191                 0.000239     
            3.967337                 0.003807                 0.004499                 0.004586                 0.000152     
            4.082915                 0.004240                 0.003201                 0.003807                 0.000096     
            4.198492                 0.002942                 0.003288                 0.003374                 0.000059     
            4.314070                 0.002682                 0.003028                 0.003115                 0.000036     
            4.429648                 0.001730                 0.002682                 0.001990                 0.000022     
            4.545226                 0.002250                 0.002336                 0.001211                 0.000013     
            4.660804                 0.002163                 0.002163                 0.001817                 0.000008     
            4.776382                 0.001817                 0.002163                 0.001125                 0.000004     
            4.891960                 0.000606                 0.001384                 0.001557                 0.000003     
            5.007538                 0.000952                 0.001211                 0.000952                 0.000001     
            5.123116                 0.001471                 0.001125                 0.001125                 0.000001     
            5.238693                 0.001038                 0.001298                 0.000692                 0.000000     
            5.354271                 0.001038                 0.001038                 0.000779                 0.000000     
            5.469849                 0.000346                 0.000519                 0.000952                 0.000000     
            5.585427                 0.000519                 0.000952                 0.000606                 0.000000     
            5.701005                 0.000433                 0.000952                 0.000433                 0.000000     
            5.816583                 0.000260                 0.000346                 0.000606                 0.000000     
            5.932161                 0.000260                 0.000519                 0.000519                 0.000000     
            6.047739                 0.000519                 0.000260                 0.000346                 0.000000     
            6.163317                 0.000519                 0.000346                 0.000346                 0.000000     
            6.278894                 0.000087                 0.000260                 0.000260                 0.000000     
            6.394472                 0.000346                 0.000000                 0.000260                 0.000000     
