          #x                 Sigval 
      0.00000000           0.40000000
      0.21673264           0.40000000
      0.21673264           1.00000000
      0.24990364           1.00000000
      0.24990364           0.40000000
      0.92577548           0.40000000
      0.92577548           1.00000000
      1.00000000           1.00000000
