              #x                      funcval                 funcval                 funcval                 funcval
            1.537500                 0.721733                -0.046100                -0.765249                 0.102634     
            1.552500                 0.721419                -0.064501                -0.761880                 0.143292     
            1.567500                 0.721001                -0.082862                -0.757395                 0.183555     
            1.582500                 0.720479                -0.101173                -0.751802                 0.223312     
            1.597500                 0.719852                -0.119421                -0.745108                 0.262454     
            1.612500                 0.719121                -0.137597                -0.737323                 0.300873     
            1.627500                 0.718286                -0.155689                -0.728459                 0.338463     
            1.642500                 0.717347                -0.173685                -0.718528                 0.375120     
            1.657500                 0.716304                -0.191575                -0.707546                 0.410744     
            1.672500                 0.715158                -0.209349                -0.695527                 0.445237     
            1.687500                 0.713907                -0.226994                -0.682491                 0.478503     
            1.702500                 0.712554                -0.244500                -0.668455                 0.510451     
            1.717500                 0.711097                -0.261858                -0.653441                 0.540992     
            1.732500                 0.709538                -0.279055                -0.637470                 0.570043     
            1.747500                 0.707875                -0.296081                -0.620565                 0.597524     
            1.762500                 0.706111                -0.312927                -0.602753                 0.623358     
            1.777500                 0.704243                -0.329581                -0.584058                 0.647475     
            1.792500                 0.702274                -0.346034                -0.564507                 0.669809     
            1.807500                 0.700204                -0.362275                -0.544131                 0.690297     
            1.822500                 0.698032                -0.378295                -0.522958                 0.708883     
            1.837500                 0.695759                -0.394084                -0.501019                 0.725517     
            1.852500                 0.693385                -0.409632                -0.478347                 0.740151     
            1.867500                 0.690911                -0.424929                -0.454974                 0.752747     
            1.882500                 0.688336                -0.439967                -0.430935                 0.763269     
            1.897500                 0.685662                -0.454736                -0.406266                 0.771688     
            1.912500                 0.682889                -0.469227                -0.381002                 0.777981     
            1.927500                 0.680017                -0.483431                -0.355179                 0.782131     
            1.942500                 0.677047                -0.497340                -0.328837                 0.784126     
            1.957500                 0.673978                -0.510945                -0.302014                 0.783961     
            1.972500                 0.670812                -0.524237                -0.274748                 0.781636     
            1.987500                 0.667549                -0.537209                -0.247081                 0.777158     
            2.002500                 0.664189                -0.549853                -0.219051                 0.770539     
            2.017500                 0.660733                -0.562160                -0.190701                 0.761797     
            2.032500                 0.657181                -0.574125                -0.162071                 0.750956     
            2.047500                 0.653534                -0.585738                -0.133205                 0.738047     
            2.062500                 0.649793                -0.596993                -0.104143                 0.723104     
            2.077500                 0.645957                -0.607883                -0.074929                 0.706169     
            2.092500                 0.642028                -0.618402                -0.045605                 0.687289     
            2.107500                 0.638006                -0.628543                -0.016215                 0.666515     
            2.122500                 0.633892                -0.638299                 0.013200                 0.643905     
            2.137500                 0.629685                -0.647666                 0.042595                 0.619521     
            2.152500                 0.625388                -0.656637                 0.071927                 0.593430     
            2.167500                 0.621000                -0.665206                 0.101155                 0.565704     
            2.182500                 0.616522                -0.673369                 0.130234                 0.536420     
            2.197500                 0.611955                -0.681120                 0.159123                 0.505659     
            2.212500                 0.607300                -0.688455                 0.187778                 0.473504     
            2.227500                 0.602556                -0.695369                 0.216159                 0.440044     
            2.242500                 0.597725                -0.701858                 0.244223                 0.405373     
            2.257500                 0.592808                -0.707919                 0.271930                 0.369584     
            2.272500                 0.587805                -0.713546                 0.299239                 0.332778     
            2.287500                 0.582717                -0.718738                 0.326109                 0.295054     
            2.302500                 0.577544                -0.723490                 0.352502                 0.256518     
            2.317500                 0.572288                -0.727800                 0.378380                 0.217275     
            2.332500                 0.566949                -0.731665                 0.403703                 0.177433     
            2.347500                 0.561527                -0.735083                 0.428435                 0.137103     
            2.362500                 0.556025                -0.738052                 0.452540                 0.096395     
            2.377500                 0.550442                -0.740569                 0.475982                 0.055421     
            2.392500                 0.544779                -0.742634                 0.498728                 0.014295     
            2.407500                 0.539038                -0.744245                 0.520743                -0.026871     
            2.422500                 0.533218                -0.745401                 0.541997                -0.067962     
            2.437500                 0.527321                -0.746102                 0.562456                -0.108867     
            2.452500                 0.521348                -0.746347                 0.582092                -0.149471     
            2.467500                 0.515299                -0.746135                 0.600876                -0.189664     
            2.482500                 0.509176                -0.745468                 0.618781                -0.229334     
            2.497500                 0.502979                -0.744344                 0.635779                -0.268373     
            2.512500                 0.496710                -0.742766                 0.651847                -0.306672     
            2.527500                 0.490368                -0.740734                 0.666961                -0.344126     
            2.542500                 0.483955                -0.738249                 0.681098                -0.380632     
