              #x                      Variace                 Variace                 Variace                 Variace
            1.762500                43.588417                49.634291                64.226652                74.433289     
            1.777500                43.358215                50.064750                63.765948                74.777633     
            1.792500                43.116102                50.508937                63.308245                75.092685     
            1.807500                42.862218                50.965316                62.857287                75.373678     
            1.822500                42.596710                51.432298                62.416794                75.616273     
            1.837500                42.319732                51.908245                61.990443                75.816624     
            1.852500                42.031444                52.391477                61.581836                75.971430     
            1.867500                41.732014                52.880277                61.194473                76.077989     
            1.882500                41.421614                53.372890                60.831731                76.134238     
            1.897500                41.100424                53.867533                60.496834                76.138786     
            1.912500                40.768631                54.362398                60.192829                76.090943     
            1.927500                40.426427                54.855657                59.922564                75.990736     
            1.942500                40.074009                55.345465                59.688664                75.838918     
            1.957500                39.711582                55.829968                59.493512                75.636967     
            1.972500                39.339355                56.307306                59.339225                75.387075     
            1.987500                38.957545                56.775617                59.227640                75.092132     
            2.002500                38.566372                57.233045                59.160295                74.755695     
            2.017500                38.166063                57.677741                59.138413                74.381951     
            2.032500                37.756849                58.107873                59.162892                73.975673     
            2.047500                37.338968                58.521625                59.234293                73.542163     
            2.062500                36.912662                58.917207                59.352827                73.087196     
            2.077500                36.478178                59.292856                59.518356                72.616946     
            2.092500                36.035766                59.646843                59.730380                72.137916     
            2.107500                35.585684                59.977479                59.988039                71.656856     
            2.122500                35.128191                60.283116                60.290114                71.180682     
            2.137500                34.663554                60.562153                60.635025                70.716383     
            2.152500                34.192041                60.813041                61.020836                70.270936     
            2.167500                33.713924                61.034287                61.445267                69.851213     
            2.182500                33.229481                61.224460                61.905694                69.463887     
            2.197500                32.738993                61.382190                62.399167                69.115345     
            2.212500                32.242744                61.506177                62.922420                68.811591     
            2.227500                31.741020                61.595193                63.471888                68.558168     
            2.242500                31.234112                61.648083                64.043722                68.360069     
            2.257500                30.722315                61.663773                64.633809                68.221659     
            2.272500                30.205924                61.641271                65.237793                68.146605     
            2.287500                29.685238                61.579667                65.851100                68.137809     
            2.302500                29.160559                61.478142                66.468957                68.197352     
            2.317500                28.632191                61.335964                67.086424                68.326439     
            2.332500                28.100439                61.152496                67.698415                68.525363     
            2.347500                27.565612                60.927194                68.299730                68.793474     
            2.362500                27.028020                60.659612                68.885085                69.129156     
            2.377500                26.487973                60.349400                69.449136                69.529816     
            2.392500                25.945785                59.996310                69.986518                69.991886     
            2.407500                25.401769                59.600194                70.491870                70.510835     
            2.422500                24.856240                59.161004                70.959868                71.081191     
            2.437500                24.309515                58.678798                71.385257                71.696570     
            2.452500                23.761910                58.153733                71.762885                72.349728     
            2.467500                23.213742                57.586072                72.087728                73.032608     
            2.482500                22.665328                56.976180                72.354927                73.736407     
            2.497500                22.116987                56.324525                72.559816                74.451652     
            2.512500                21.569035                55.631676                72.697951                75.168278     
            2.527500                21.021790                54.898306                72.765138                75.875722     
            2.542500                20.475569                54.125187                72.757465                76.563018     
            2.557500                19.930688                53.313188                72.671320                77.218905     
            2.572500                19.387463                52.463279                72.503423                77.831930     
            2.587500                18.846209                51.576524                72.250847                78.390566     
            2.602500                18.307238                50.654081                71.911037                78.883324     
            2.617500                17.770863                49.697199                71.481831                79.298875     
            2.632500                17.237394                48.707217                70.961479                79.626167     
            2.647500                16.707141                47.685560                70.348658                79.854541     
            2.662500                16.180410                46.633736                69.642481                79.973848     
            2.677500                15.657507                45.553333                68.842515                79.974563     
            2.692500                15.138734                44.446017                67.948783                79.847893     
            2.707500                14.624392                43.313527                66.961774                79.585879     
            2.722500                14.114778                42.157672                65.882445                79.181496     
            2.737500                13.610188                40.980327                64.712223                78.628737     
            2.752500                13.110915                39.783427                63.453003                77.922697     
            2.767500                12.617246                38.568969                62.107145                77.059645     
            2.782500                12.129468                37.338999                60.677464                76.037080     
            2.797500                11.647863                36.095615                59.167228                74.853785     
            2.812500                11.172711                34.840956                57.580138                73.509862     
            2.827500                10.704287                33.577204                55.920321                72.006761     
            2.842500                10.242861                32.306574                54.192312                70.347289     
            2.857500                 9.788700                31.031311                52.401033                68.535615     
            2.872500                 9.342069                29.753686                50.551775                66.577252     
            2.887500                 8.903226                28.475988                48.650173                64.479040     
            2.902500                 8.472424                27.200522                46.702184                62.249100     
            2.917500                 8.049913                25.929601                44.714060                59.896788     
            2.932500                 7.635939                24.665546                42.692318                57.432631     
            2.947500                 7.230740                23.410672                40.643709                54.868254     
            2.962500                 6.834551                22.167292                38.575193                52.216295     
            2.977500                 6.447602                20.937706                36.493899                49.490308     
            2.992500                 6.070116                19.724198                34.407097                46.704664     
