              xiValue                 PDF                     PDF                     PDF                     PDF    
            0.000000                 0.310689                 6.145120                 0.298500                 6.100345     
            0.040201                 0.302480                 0.382826                 0.284570                 0.329345     
            0.080402                 0.308699                 0.350737                 0.275864                 0.298500     
            0.120603                 0.289296                 0.344270                 0.272630                 0.279097     
            0.160804                 0.275118                 0.309445                 0.269147                 0.281336     
            0.201005                 0.267157                 0.294520                 0.258949                 0.263924     
            0.241206                 0.256710                 0.287306                 0.250989                 0.261436     
            0.281407                 0.257207                 0.274122                 0.263924                 0.239049     
            0.321608                 0.243526                 0.252730                 0.244024                 0.240044     
            0.361809                 0.251486                 0.248004                 0.253227                 0.260939     
            0.402010                 0.250740                 0.244273                 0.237805                 0.256461     
            0.442211                 0.236064                 0.231089                 0.237556                 0.226860     
            0.482412                 0.233825                 0.226362                 0.235317                 0.247506     
            0.522613                 0.237805                 0.213676                 0.225119                 0.236561     
            0.562814                 0.209945                 0.207955                 0.225616                 0.224621     
            0.603015                 0.201736                 0.201239                 0.217408                 0.199746     
            0.643216                 0.197508                 0.206214                 0.215915                 0.194025     
            0.683417                 0.188552                 0.191289                 0.202234                 0.194522     
            0.723618                 0.187806                 0.184821                 0.209199                 0.175866     
            0.763819                 0.179349                 0.191537                 0.196513                 0.181090     
            0.804020                 0.186314                 0.179597                 0.205965                 0.177110     
            0.844221                 0.187557                 0.175866                 0.197010                 0.174871     
            0.884422                 0.181587                 0.164672                 0.189548                 0.165419     
            0.924623                 0.162434                 0.165419                 0.191040                 0.161190     
            0.964824                 0.148255                 0.154225                 0.188801                 0.159697     
            1.005025                 0.164424                 0.146265                 0.184324                 0.155718     
            1.045226                 0.154225                 0.153479                 0.188304                 0.154971     
            1.085427                 0.160692                 0.140295                 0.170394                 0.162185     
            1.125628                 0.150245                 0.147011                 0.175618                 0.157459     
            1.165829                 0.141539                 0.127111                 0.175618                 0.153479     
            1.206030                 0.137061                 0.128355                 0.172384                 0.147260     
            1.246231                 0.138802                 0.125370                 0.219397                 0.155966     
            1.286432                 0.128604                 0.117659                 0.164921                 0.141041     
            1.326633                 0.117410                 0.128853                 0.162434                 0.134325     
            1.366834                 0.119400                 0.115669                 0.156713                 0.160444     
            1.407035                 0.116664                 0.095769                 0.165419                 0.142534     
            1.447236                 0.115917                 0.110942                 0.170145                 0.142285     
            1.487437                 0.098754                 0.113679                 0.159697                 0.138802     
            1.527638                 0.098007                 0.102236                 0.170891                 0.146016     
            1.567839                 0.101739                 0.091291                 0.209199                 0.143280     
            1.608040                 0.099251                 0.088804                 0.209945                 0.160692     
            1.648241                 0.096266                 0.097510                 0.273128                 0.180592     
            1.688442                 0.095769                 0.094276                 0.193030                 0.214920     
            1.728643                 0.094774                 0.084326                 0.050248                 0.070894     
            1.768844                 0.086068                 0.084077                 0.048755                 0.072386     
            1.809045                 0.079600                 0.090296                 0.047014                 0.068655     
            1.849246                 0.081092                 0.075869                 0.041790                 0.064675     
            1.889447                 0.069650                 0.079351                 0.042039                 0.058954     
            1.929648                 0.075371                 0.074625                 0.036815                 0.066416     
            1.969849                 0.071391                 0.065919                 0.041541                 0.059949     
            2.010050                 0.071142                 0.071391                 0.042287                 0.052984     
            2.050251                 0.065172                 0.065421                 0.035074                 0.052486     
            2.090452                 0.064426                 0.066665                 0.035571                 0.053481     
            2.130653                 0.066168                 0.064675                 0.033084                 0.055720     
            2.170854                 0.052735                 0.061192                 0.030845                 0.042287     
            2.211055                 0.052984                 0.061690                 0.027362                 0.043780     
            2.251256                 0.052735                 0.059700                 0.032089                 0.026119     
            2.291457                 0.059700                 0.052735                 0.027362                 0.020397     
            2.331658                 0.052735                 0.046765                 0.023880                 0.019402     
            2.371859                 0.046516                 0.053730                 0.022885                 0.019402     
            2.412060                 0.046019                 0.054227                 0.022885                 0.019651     
            2.452261                 0.045770                 0.048506                 0.017910                 0.020646     
            2.492462                 0.037312                 0.053481                 0.025621                 0.013930     
            2.532663                 0.039302                 0.049999                 0.022885                 0.012686     
            2.572864                 0.040297                 0.055720                 0.023631                 0.018408     
            2.613065                 0.036069                 0.101241                 0.020149                 0.014427     
            2.653266                 0.036069                 0.000000                 0.017661                 0.012686     
            2.693467                 0.031343                 0.000000                 0.021890                 0.010448     
            2.733668                 0.028855                 0.000000                 0.017164                 0.014925     
            2.773869                 0.029850                 0.000000                 0.012189                 0.009950     
            2.814070                 0.028358                 0.000000                 0.017910                 0.011194     
            2.854271                 0.023880                 0.000000                 0.014676                 0.009204     
            2.894472                 0.025621                 0.000000                 0.011442                 0.008457     
            2.934673                 0.027362                 0.000000                 0.010199                 0.008209     
            2.974874                 0.024875                 0.000000                 0.010199                 0.010199     
            3.015075                 0.021641                 0.000000                 0.012438                 0.008457     
            3.055276                 0.024129                 0.000000                 0.009701                 0.008209     
            3.095477                 0.020149                 0.000000                 0.013432                 0.006716     
            3.135678                 0.021144                 0.000000                 0.009701                 0.005472     
            3.175879                 0.019154                 0.000000                 0.008457                 0.007462     
            3.216080                 0.014179                 0.000000                 0.008955                 0.007214     
            3.256281                 0.017164                 0.000000                 0.005472                 0.006468     
            3.296482                 0.016169                 0.000000                 0.007214                 0.004229     
            3.336683                 0.014925                 0.000000                 0.007214                 0.002736     
            3.376884                 0.014179                 0.000000                 0.003980                 0.004726     
            3.417085                 0.009950                 0.000000                 0.006219                 0.004975     
            3.457286                 0.010945                 0.000000                 0.006219                 0.004477     
            3.497487                 0.011940                 0.000000                 0.003482                 0.004726     
            3.537688                 0.009452                 0.000000                 0.004477                 0.003731     
            3.577889                 0.008955                 0.000000                 0.005224                 0.002985     
            3.618090                 0.012686                 0.000000                 0.004726                 0.001990     
            3.658291                 0.037561                 0.000000                 0.001492                 0.003482     
            3.698492                 0.000000                 0.000000                 0.000000                 0.001741     
            3.738693                 0.000000                 0.000000                 0.000000                 0.001990     
            3.778894                 0.000000                 0.000000                 0.000000                 0.001244     
            3.819095                 0.000000                 0.000000                 0.000000                 0.001492     
            3.859296                 0.000000                 0.000000                 0.000000                 0.000746     
            3.899497                 0.000000                 0.000000                 0.000000                 0.000746     
            3.939698                 0.000000                 0.000000                 0.000000                 0.000000     
            3.979899                 0.000000                 0.000000                 0.000000                 0.000000     
            4.020101                 0.000000                 0.000000                 0.000000                 0.000000     
