          #x                 Sigval 
      0.00000000           0.79690000
      0.07060090           0.79690000
      0.07060090           0.38149000
      0.60834288           0.38149000
      0.60834288           0.79690000
      0.89894970           0.79690000
      0.89894970           0.38149000
      2.00000000           0.38149000
